GRE_Score,TOEFL_Score,SOP,LOR ,CGPA,Admit_Chance,University_Rating_1,University_Rating_2,University_Rating_3,University_Rating_4,University_Rating_5,Research_0,Research_1
337,118,4.5,4.5,9.65,1,0,0,0,1,0,0,1
324,107,4.0,4.5,8.87,0,0,0,0,1,0,0,1
316,104,3.0,3.5,8.0,0,0,0,1,0,0,0,1
322,110,3.5,2.5,8.67,1,0,0,1,0,0,0,1
314,103,2.0,3.0,8.21,0,0,1,0,0,0,1,0
330,115,4.5,3.0,9.34,1,0,0,0,0,1,0,1
321,109,3.0,4.0,8.2,0,0,0,1,0,0,0,1
308,101,3.0,4.0,7.9,0,0,1,0,0,0,1,0
302,102,2.0,1.5,8.0,0,1,0,0,0,0,1,0
323,108,3.5,3.0,8.6,0,0,0,1,0,0,1,0
325,106,3.5,4.0,8.4,0,0,0,1,0,0,0,1
327,111,4.0,4.5,9.0,1,0,0,0,1,0,0,1
328,112,4.0,4.5,9.1,0,0,0,0,1,0,0,1
307,109,4.0,3.0,8.0,0,0,0,1,0,0,0,1
311,104,3.5,2.0,8.2,0,0,0,1,0,0,0,1
314,105,3.5,2.5,8.3,0,0,0,1,0,0,1,0
317,107,4.0,3.0,8.7,0,0,0,1,0,0,1,0
319,106,4.0,3.0,8.0,0,0,0,1,0,0,0,1
318,110,4.0,3.0,8.8,0,0,0,1,0,0,1,0
303,102,3.5,3.0,8.5,0,0,0,1,0,0,1,0
312,107,3.0,2.0,7.9,0,0,0,1,0,0,0,1
325,114,3.0,2.0,8.4,0,0,0,0,1,0,1,0
328,116,5.0,5.0,9.5,1,0,0,0,0,1,0,1
334,119,5.0,4.5,9.7,1,0,0,0,0,1,0,1
336,119,4.0,3.5,9.8,1,0,0,0,0,1,0,1
340,120,4.5,4.5,9.6,1,0,0,0,0,1,0,1
322,109,4.5,3.5,8.8,0,0,0,0,0,1,1,0
298,98,1.5,2.5,7.5,0,0,1,0,0,0,0,1
295,93,2.0,2.0,7.2,0,1,0,0,0,0,1,0
310,99,1.5,2.0,7.3,0,0,1,0,0,0,1,0
300,97,3.0,3.0,8.1,0,0,1,0,0,0,0,1
327,103,4.0,4.0,8.3,0,0,0,1,0,0,0,1
338,118,3.0,4.5,9.4,1,0,0,0,1,0,0,1
340,114,4.0,4.0,9.6,1,0,0,0,0,1,0,1
331,112,4.0,5.0,9.8,1,0,0,0,0,1,0,1
320,110,5.0,5.0,9.2,1,0,0,0,0,1,0,1
299,106,4.0,4.0,8.4,0,0,1,0,0,0,1,0
300,105,1.0,2.0,7.8,0,1,0,0,0,0,1,0
304,105,3.0,1.5,7.5,0,1,0,0,0,0,1,0
307,108,4.0,3.5,7.7,0,0,1,0,0,0,1,0
308,110,3.5,3.0,8.0,0,0,0,1,0,0,0,1
316,105,2.5,2.5,8.2,0,0,1,0,0,0,0,1
313,107,2.5,2.0,8.5,0,0,1,0,0,0,0,1
332,117,4.5,4.0,9.1,1,0,0,0,1,0,1,0
326,113,4.5,4.0,9.4,1,0,0,0,0,1,0,1
322,110,5.0,4.0,9.1,1,0,0,0,0,1,0,1
329,114,4.0,5.0,9.3,1,0,0,0,0,1,0,1
339,119,4.5,4.0,9.7,1,0,0,0,0,1,1,0
321,110,3.5,5.0,8.85,1,0,0,1,0,0,0,1
327,111,3.0,4.0,8.4,0,0,0,0,1,0,0,1
313,98,2.5,4.5,8.3,0,0,0,1,0,0,0,1
312,100,1.5,3.5,7.9,0,0,1,0,0,0,0,1
334,116,4.0,3.0,8.0,0,0,0,0,1,0,0,1
324,112,4.0,2.5,8.1,0,0,0,0,1,0,0,1
322,110,3.0,3.5,8.0,0,0,0,1,0,0,1,0
320,103,3.0,3.0,7.7,0,0,0,1,0,0,1,0
316,102,2.0,3.0,7.4,0,0,0,1,0,0,1,0
298,99,4.0,2.0,7.6,0,0,1,0,0,0,1,0
300,99,3.0,2.0,6.8,0,1,0,0,0,0,0,1
311,104,2.0,2.0,8.3,0,0,1,0,0,0,1,0
309,100,3.0,3.0,8.1,0,0,1,0,0,0,1,0
307,101,4.0,3.0,8.2,0,0,0,1,0,0,1,0
304,105,3.0,3.0,8.2,0,0,1,0,0,0,0,1
315,107,4.0,3.0,8.5,0,0,1,0,0,0,0,1
325,111,3.0,3.5,8.7,0,0,0,1,0,0,1,0
325,112,3.5,3.5,8.92,0,0,0,0,1,0,1,0
327,114,3.0,3.0,9.02,0,0,0,1,0,0,1,0
316,107,3.5,3.5,8.64,0,0,1,0,0,0,0,1
318,109,3.5,4.0,9.22,0,0,0,1,0,0,0,1
328,115,4.5,4.0,9.16,0,0,0,0,1,0,0,1
332,118,5.0,5.0,9.64,1,0,0,0,0,1,0,1
336,112,5.0,5.0,9.76,1,0,0,0,0,1,0,1
321,111,5.0,5.0,9.45,1,0,0,0,0,1,0,1
314,108,4.5,4.0,9.04,1,0,0,0,1,0,0,1
314,106,3.0,5.0,8.9,0,0,0,1,0,0,1,0
329,114,2.0,4.0,8.56,0,0,1,0,0,0,0,1
327,112,3.0,3.0,8.72,0,0,0,1,0,0,0,1
301,99,3.0,2.0,8.22,0,0,1,0,0,0,1,0
296,95,3.0,2.0,7.54,0,0,1,0,0,0,0,1
294,93,1.5,2.0,7.36,0,1,0,0,0,0,1,0
312,105,2.0,3.0,8.02,0,0,0,1,0,0,0,1
340,120,5.0,5.0,9.5,1,0,0,0,1,0,0,1
320,110,5.0,4.5,9.22,1,0,0,0,0,1,0,1
322,115,4.0,4.5,9.36,1,0,0,0,0,1,0,1
340,115,4.5,4.5,9.45,1,0,0,0,0,1,0,1
319,103,4.5,3.5,8.66,0,0,0,0,1,0,1,0
315,106,4.5,3.5,8.42,0,0,0,1,0,0,1,0
317,107,3.5,3.0,8.28,0,0,1,0,0,0,1,0
314,108,4.5,3.5,8.14,0,0,0,1,0,0,1,0
316,109,4.5,3.5,8.76,0,0,0,0,1,0,0,1
318,106,4.0,4.0,7.92,0,0,1,0,0,0,0,1
299,97,5.0,3.5,7.66,0,0,0,1,0,0,1,0
298,98,4.0,3.0,8.03,0,0,1,0,0,0,1,0
301,97,3.0,3.0,7.88,0,0,1,0,0,0,0,1
303,99,2.0,2.5,7.66,0,0,0,1,0,0,1,0
304,100,1.5,2.5,7.84,0,0,0,0,1,0,1,0
306,100,3.0,3.0,8.0,0,0,1,0,0,0,1,0
331,120,4.0,4.0,8.96,1,0,0,1,0,0,0,1
332,119,5.0,4.5,9.24,1,0,0,0,1,0,0,1
323,113,4.0,4.0,8.88,0,0,0,1,0,0,0,1
322,107,3.5,3.5,8.46,0,0,0,1,0,0,0,1
312,105,2.5,3.0,8.12,0,0,1,0,0,0,1,0
314,106,4.0,3.5,8.25,0,0,1,0,0,0,1,0
317,104,4.5,4.0,8.47,0,0,1,0,0,0,1,0
326,112,3.5,3.0,9.05,0,0,0,1,0,0,0,1
316,110,4.0,4.5,8.78,0,0,0,1,0,0,0,1
329,111,4.5,4.5,9.18,1,0,0,0,1,0,0,1
338,117,3.5,4.5,9.46,1,0,0,0,1,0,0,1
331,116,5.0,5.0,9.38,1,0,0,0,0,1,0,1
304,103,5.0,4.0,8.64,0,0,0,0,0,1,1,0
305,108,3.0,3.0,8.48,0,0,0,0,0,1,1,0
321,109,4.0,4.0,8.68,0,0,0,0,1,0,0,1
301,107,3.5,3.5,8.34,0,0,0,1,0,0,0,1
320,110,4.0,3.5,8.56,0,0,1,0,0,0,1,0
311,105,3.5,3.0,8.45,0,0,0,1,0,0,0,1
310,106,4.5,4.5,9.04,0,0,0,0,1,0,0,1
299,102,4.0,3.5,8.62,0,0,0,1,0,0,1,0
290,104,2.0,2.5,7.46,0,0,0,0,1,0,1,0
296,99,3.0,3.5,7.28,0,0,1,0,0,0,1,0
327,104,3.0,3.5,8.84,0,0,0,0,0,1,0,1
335,117,5.0,5.0,9.56,1,0,0,0,0,1,0,1
334,119,4.5,4.5,9.48,1,0,0,0,0,1,0,1
310,106,1.5,2.5,8.36,0,0,0,0,1,0,1,0
308,108,3.5,3.5,8.22,0,0,0,1,0,0,1,0
301,106,2.5,3.0,8.47,0,0,0,0,1,0,1,0
300,100,2.0,3.0,8.66,0,0,0,1,0,0,0,1
323,113,4.0,3.0,9.32,1,0,0,1,0,0,0,1
319,112,2.5,2.0,8.71,0,0,0,1,0,0,0,1
326,112,3.5,3.0,9.1,1,0,0,1,0,0,0,1
333,118,5.0,5.0,9.35,1,0,0,0,0,1,0,1
339,114,4.0,4.5,9.76,1,0,0,0,0,1,0,1
303,105,5.0,4.5,8.65,0,0,0,0,0,1,1,0
309,105,3.5,3.5,8.56,0,0,0,0,0,1,1,0
323,112,4.0,4.5,8.78,0,0,0,0,0,1,1,0
333,113,4.0,4.0,9.28,1,0,0,0,0,1,0,1
314,109,3.5,4.0,8.77,1,0,0,0,1,0,0,1
312,103,5.0,4.0,8.45,0,0,0,1,0,0,1,0
316,100,1.5,3.0,8.16,0,0,1,0,0,0,0,1
326,116,4.5,3.0,9.08,1,0,1,0,0,0,0,1
318,109,3.5,3.5,9.12,0,1,0,0,0,0,1,0
329,110,4.0,3.0,9.15,1,0,1,0,0,0,0,1
332,118,4.5,3.5,9.36,1,0,1,0,0,0,0,1
331,115,4.0,3.5,9.44,1,0,0,0,0,1,0,1
340,120,4.5,4.0,9.92,1,0,0,0,1,0,0,1
325,112,3.0,3.5,8.96,1,0,1,0,0,0,0,1
